City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,kupang,-10.1667,123.5833,27.32,61,20,8.75,ID,1690249513
84,vilyuchinsk,52.9306,158.4028,25.15,64,1,3.73,RU,1690249097
85,ambalangoda,6.2355,80.0538,26.41,84,59,3.61,LK,1690249513
86,butembo,0.15,29.2833,15.4,74,45,1.22,CD,1690249514
87,sittwe,20.15,92.9,27.89,84,69,6.7,MM,1690249514
88,ataq,14.5377,46.8319,27.73,52,100,3.32,YE,1690249457
89,margaret river,-33.95,115.0667,16.82,82,100,10.57,AU,1690249060
90,fort st. john,56.2499,-120.8529,18.94,59,100,3.6,CA,1690249515
91,tiksi,71.6872,128.8694,5.22,77,96,2.45,RU,1690249063
92,ljusdal,61.8288,16.0913,10.05,98,52,1.5,SE,1690249515
93,bossangoa,6.4926,17.4552,20.39,97,50,1.92,CF,1690249515
94,praia da vitoria,38.7333,-27.0667,22.14,88,40,4.57,PT,1690249087
95,ribeira grande,38.5167,-28.7,22.1,87,9,1.34,PT,1690249065
96,ust-nera,64.5667,143.2,19.02,71,98,2.07,RU,1690249065
97,buala,-8.145,159.5921,28.15,79,100,3.06,SB,1690249516
98,tapes,-30.6733,-51.3958,15.53,98,100,2.83,BR,1690249338
99,mora,11.0461,14.1401,26.65,60,19,1.65,CM,1690249516
100,neiafu,-18.65,-173.9833,25.38,65,40,2.57,TO,1690249516
101,port mathurin,-19.6833,63.4167,23.22,76,94,9.3,MU,1690249067
102,fada,9.5667,8.3,20.31,99,99,1.44,NG,1690249517
103,the pas,53.8251,-101.2541,25.01,47,0,3.6,CA,1690249097
104,nova sintra,14.8667,-24.7167,22.53,84,100,6.55,CV,1690249075
105,hamilton,39.1834,-84.5333,23.55,85,0,3.6,US,1690248791
106,champerico,14.3,-91.9167,28.52,71,37,1.95,GT,1690249517
107,kodiak,57.79,-152.4072,15.73,63,100,5.66,US,1690249065
108,esquel,-42.9,-71.3167,1.8,98,92,1.87,AR,1690249517
109,okhotsk,59.3833,143.3,19.09,65,31,2.84,RU,1690249518
110,kuala tungkal,-0.8167,103.4667,26.9,76,70,3.71,ID,1690249518
111,stanley,54.868,-1.6985,10.44,91,0,1.54,GB,1690249059
112,antofagasta,-23.65,-70.4,17.6,87,76,1.79,CL,1690248707
113,cacoal,-11.4386,-61.4472,22.97,45,32,0.48,BR,1690249518
114,zelenogorsk,56.1147,94.5861,17.71,93,100,2.81,RU,1690249518
115,cam ranh,11.9214,109.1591,28.98,74,20,1.54,VN,1690249487
116,longyearbyen,78.2186,15.6401,8.91,81,40,3.6,SJ,1690249063
117,namdrik,5.5994,168.1028,28.73,75,69,5.51,MH,1690249081
118,byron bay,-28.65,153.6167,18.17,51,2,6.22,AU,1690249379
119,port augusta,-32.5,137.7667,15.75,53,0,2.57,AU,1690249063
120,uturoa,-16.7333,-151.4333,26.85,81,7,6.61,PF,1690249060
121,tashtyp,52.7939,89.8983,18.93,67,51,0.57,RU,1690249519
122,serov,59.6033,60.5787,16.23,70,25,0.31,RU,1690249519
123,iskateley,67.6803,53.1512,15.71,84,48,3.98,RU,1690249059
124,juan griego,11.0817,-63.9655,26.15,91,100,3.09,VE,1690249520
125,solnechnyy,50.7214,136.6319,20.52,96,96,2.03,RU,1690249520
126,badger,64.8,-147.5333,32.51,41,40,1.54,US,1690249068
127,kani keli,-12.9536,45.1033,24.59,69,74,5.77,YT,1690249520
128,gazojak,41.1875,61.4036,32.98,18,0,3.21,TM,1690249520
129,dunedin,-45.8742,170.5036,10.45,73,80,3.13,NZ,1690248932
130,sestri levante,44.2732,9.3968,27.81,73,65,3.88,IT,1690249521
131,polyarnyy,69.1989,33.4478,9.53,93,100,3.14,RU,1690249078
132,sola,-13.8833,167.55,25.92,86,37,3.9,VU,1690249521
133,barcelos,41.5388,-8.6151,16.06,94,3,2.0,PT,1690249521
134,baker,30.5882,-91.1682,31.97,56,0,3.09,US,1690249521
135,kaifeng,34.7911,114.3483,34.11,52,8,2.61,CN,1690249433
136,aasiaat,68.7098,-52.8699,2.52,97,99,2.85,GL,1690249065
137,hithadhoo,-0.6,73.0833,28.02,79,100,7.22,MV,1690249059
138,vila franca do campo,37.7167,-25.4333,22.23,90,35,2.08,PT,1690249088
139,nabire,-3.3667,135.4833,30.05,61,99,2.19,ID,1690249078
140,port lincoln,-34.7333,135.8667,14.12,72,0,4.65,AU,1690249079
141,labrador city,52.9463,-66.9114,19.95,56,75,2.06,CA,1690249069
142,ndele,8.4109,20.6473,21.46,97,45,1.55,CF,1690249522
143,tanout,14.9709,8.8879,30.1,48,63,7.05,NE,1690249522
144,minas de marcona,-15.2119,-75.1103,12.47,87,53,6.44,PE,1690249523
145,nuku'alofa,-21.1333,-175.2,24.19,57,20,2.57,TO,1690249523
146,whitehorse,60.7161,-135.0538,19.43,55,75,3.6,CA,1690249020
147,richards bay,-28.783,32.0377,14.0,78,64,2.36,ZA,1690249061
148,tura,25.5198,90.2201,27.03,87,94,1.32,IN,1690249100
